 3696.00000, 10481.00000, 1566, 28611268,10.0 Wavelength region, lines selected, lines processed, Vmicro
                                                                     Lande factors       Damping parameters  Central
Spec Ion       WL_air(A)  log gf* E_low(eV) J lo E_up(eV)  J up  lower   upper    mean   Rad.   Stark  Waals  depth
'He 1',        3696.4480, -3.357, 21.2180,  1.0, 24.5712,  2.0, 99.000, 99.000, 99.000, 0.000, 0.000, 0.000, 0.016,
'  LS                                                            1s.2p                  1P*'
'  LS                                                              1s.29d                1D'
'_          He Kurucz NLTE  He               1 wl:K   1 gf:K   1 K   1 K   1 K   1 K   1 K   1 K   1 K'
'Ne 2',        3697.1234, -0.940, 31.5282,  0.5, 34.8808,  0.5, 99.000, 99.000, 99.000, 0.000, 0.000, 0.000, 0.015,
'  LS                                                       2s2.2p4.(3P).3p             2P*'
'  LS                                                         2s2.2p4.(3P).3d            2P'
'ND         Ne 1-9 NIST dataNe+              2 wl:NIST10   2 gf:NIST10   2 NIST10   2 NIST10   2 NIST10   2 NIST10   2 NIST10   2 NIST10   2 NIST10'
'H 1',         3697.1581, -2.235, 10.1988,  0.5, 13.5514,  1.0, 99.000, 99.000, 99.000, 8.000, 2.000,17.000, 0.197,
'                                                                                       n=2'
'                                                                                      n=17'
'NAAA       NIST+Kurucz HlinH                3 wl:Kra2010   3 gf:Kra2010   3 Kra2010   3 Kra2010   3 Kra2010   3 Kra2010   3 Kra2010   3 Kra2010   3 Kra2010'
'He 1',        3697.7450, -3.312, 21.2180,  1.0, 24.5700,  2.0, 99.000, 99.000, 99.000, 0.000, 0.000, 0.000, 0.018,
'  LS                                                            1s.2p                  1P*'
'  LS                                                              1s.28d                1D'
'_          He Kurucz NLTE  He               1 wl:K   1 gf:K   1 K   1 K   1 K   1 K   1 K   1 K   1 K'
'O 3',         3698.7180,  0.039, 41.9937,  2.0, 45.3448,  3.0, 99.000, 99.000, 99.000, 0.000, 0.000, 0.000, 0.058,
'  LS                                                           2s.2p2.(4P).3s           5P'
'  LS                                                             2s.2p2.(4P).3p        5D*'
'NC+        CNO, Na 1, Mg 1:O+2              4 wl:NIST10   4 gf:NIST10   4 NIST10   4 NIST10   5 KP   5 KP   5 KP   5 KP   4 NIST10'
'He 2',        3698.8290, -2.175, 51.0168,  3.5, 54.3678,  4.5, 99.000, 99.000, 99.000,10.000, 0.000, 0.000, 0.015,
'                                                                                       n=4'
'                                                                                      n=33'
'_          He Kurucz NLTE  He+              1 wl:CDROM18   1 gf:CDROM18   1 CDROM18   1 CDROM18   1 CDROM18   1 CDROM18   1 CDROM18   1 CDROM18   1 CDROM18'
'He 1',        3699.1900, -3.264, 21.2180,  1.0, 24.5687,  2.0, 99.000, 99.000, 99.000, 0.000, 0.000, 0.000, 0.020,
'  LS                                                            1s.2p                  1P*'
'  LS                                                              1s.27d                1D'
'_          He Kurucz NLTE  He               1 wl:K   1 gf:K   1 K   1 K   1 K   1 K   1 K   1 K   1 K'
'He 1',        3700.8060, -3.215, 21.2180,  1.0, 24.5673,  2.0, 99.000, 99.000, 99.000, 0.000, 0.000, 0.000, 0.022,
'  LS                                                            1s.2p                  1P*'
'  LS                                                              1s.26d                1D'
'_          He Kurucz NLTE  He               1 wl:K   1 gf:K   1 K   1 K   1 K   1 K   1 K   1 K   1 K'
'Ne 2',        3701.7769, -0.480, 31.5124,  1.5, 34.8608,  2.5, 99.000, 99.000, 99.000, 0.000, 0.000, 0.000, 0.040,
'  LS                                                       2s2.2p4.(3P).3p             2P*'
'  LS                                                         2s2.2p4.(3P).3d            4P'
'ND         Ne 1-9 NIST dataNe+              2 wl:NIST10   2 gf:NIST10   2 NIST10   2 NIST10   2 NIST10   2 NIST10   2 NIST10   2 NIST10   2 NIST10'
'Al 3',        3702.1060, -0.340, 17.8083,  0.5, 21.1563,  0.5, 99.000, 99.000, 99.000, 0.000, 0.000, 0.000, 0.035,
'  LS                                                            2p6.4p                 2P*'
'  LS                                                              2p6.5s                2S'
'_          Li 1 - K 5 Bell Al+2             5 wl:KP   5 gf:KP   5 KP   5 KP   5 KP   5 KP   5 KP   5 KP   5 KP'
'He 2',        3702.3310, -2.134, 51.0168,  3.5, 54.3646,  4.5, 99.000, 99.000, 99.000,10.000, 0.000, 0.000, 0.016,
'                                                                                       n=4'
'                                                                                      n=32'
'_          He Kurucz NLTE  He+              1 wl:CDROM18   1 gf:CDROM18   1 CDROM18   1 CDROM18   1 CDROM18   1 CDROM18   1 CDROM18   1 CDROM18   1 CDROM18'
'He 1',        3702.6210, -3.164, 21.2180,  1.0, 24.5656,  2.0, 99.000, 99.000, 99.000, 0.000, 0.000, 0.000, 0.024,
'  LS                                                            1s.2p                  1P*'
'  LS                                                              1s.25d                1D'
